Acoustic/Folk_0,Alt_Music_1,Blues_2,Bollywood_3,Country_4,HipHop_5,Indie Alt_6,Instrumental_7,Metal_8,Pop_9,Rock_10
2.298059627032069e-05,0.005170873696026664,0.0019022679810890856,1.2908494330886447e-05,0.00013713693003728722,0.0008976737339820127,0.20332598167205052,1.7394215170913185e-05,0.02512860730017251,0.03673577330055735,0.7266484020803124
9.174647033089443e-05,0.19580043893824917,0.011183807492530201,1.0773208161178639e-05,0.000233369797681454,0.003327414434395924,0.04835044254783142,2.1312523859669218e-05,0.1865889506922699,0.025147267723631236,0.5292444761710589
4.0531650185750504e-05,0.0060555679118235815,0.0006015625006543684,4.209773234308059e-06,6.608645777282437e-05,0.0037560040396470117,0.0165403039181633,1.2673040968227871e-05,0.01490261167130676,0.9321799904520917,0.025840458584152258
3.889070892023081e-06,0.00042767227235312755,1.2582478015909925e-05,2.798405994510529e-06,1.3917298958719875e-05,0.003262053837031964,0.0012921353680830881,1.2102064925183375e-06,0.002211215652671326,0.9759763028171877,0.016796222592319186
0.009313613327295439,0.0108746461169476,0.0016886787768921586,0.00020389351727104438,0.019264314583725673,0.0022334198098831175,0.012998843020637862,0.0006264822208109599,0.02184037949729231,0.756457356098959,0.16449837303028483
1.9769762559457575e-05,0.05786420898190149,0.008470270014861754,1.1716951992484582e-05,5.250236385012186e-05,0.007024805218467373,0.5948898038349004,1.5889459596901765e-05,0.0645491494734838,0.0506408914667623,0.2164609924716238
1.5491888070246913e-05,0.4620235224836109,8.072534155208057e-05,5.1534147781430085e-06,1.0347812607291646e-05,9.713207660692929e-05,0.5367908835422044,1.752600555812332e-06,9.216007115908924e-06,0.0005459636679841403,0.0004198111649141152
0.0004265828160352003,0.09851085436658191,0.012745508836059117,0.00010894739376645117,0.0010244494231396075,0.0019197806495262282,0.07157675019409643,5.586472652110129e-05,0.045230957455554395,0.03560009752032454,0.7328002066183951
0.000650591556846278,0.10631488034392493,0.002392932051069916,1.8273345535743064e-05,5.596156823600905e-05,0.0012244806588098882,0.13404178827901983,1.892532917612515e-05,0.002090185903532042,0.6000253363096059,0.15316664465424334
0.000134124675226032,0.010212018870436124,0.03911278656225119,1.6349498227215742e-05,2.535078232345772e-05,0.00041151657841494117,0.04343268479115205,4.5681196512512546e-05,0.0227865673831576,0.05824134776965532,0.8255815718926437
9.301804342535065e-05,0.0791747104695801,0.009423816614389556,4.042846283272234e-05,0.0003843344050015697,0.09167408741151972,0.11407807859558439,3.46250871698172e-05,0.11535995602071374,0.06676689945565756,0.5229700454341255
3.411649076164333e-05,0.4597686713554365,0.0001246537768158083,4.472738900574647e-06,3.30499545654704e-05,1.9606205414412715e-05,0.5391311403065115,1.1919542004702454e-06,6.606216773259955e-06,0.0001766989683714788,0.0006997920322488016
3.273833891567662e-05,0.483520189419564,0.004518183140167693,3.242616102824327e-06,0.0001412195903387669,0.0001672439005622354,0.4556016111246505,1.4698182835340882e-05,0.002677349759741702,0.005374313991997679,0.04794920993512374
0.0018783803935513437,0.08991750740415949,0.010286453264163165,4.363511129275237e-05,0.002999254289371208,0.6008451034350818,0.15778478536064103,8.720233451959491e-05,0.0005083511938951116,0.08591325542663313,0.049736071786691365
5.062469406866867e-05,0.14217577435490203,0.008791884688016248,8.991361220717106e-06,0.00022175321972330679,0.0003227183589047846,0.12045810874930764,8.445416615830672e-06,0.022437461343089517,0.033457299885794815,0.6720669379283564
2.779744862301346e-06,0.0004068475355291764,0.00011758233690379978,2.2338721796368366e-07,5.365971905903453e-06,7.00350941600283e-05,0.0010740769609917647,4.698889051091394e-07,0.007893767531821375,0.0009938273863597516,0.9894350241613428
0.0005281152475146851,0.04928244589490259,0.06315823640388242,3.258411825512212e-05,0.0001560894291090135,0.004554291617916086,0.08205879192524078,7.581408405519617e-05,0.10486116764715386,0.0764661490168069,0.6188263146151634
0.00010389951895497603,0.1842854021844134,0.029212938814215342,2.7118303605336713e-05,0.0002068992814952771,0.0013029028904425742,0.039061758953056705,4.828850238637048e-05,0.3237458116546581,0.02946882320087726,0.3925361566958947
0.00044442277738712655,0.19697826438504956,0.007887792777757323,2.9387328247436155e-05,0.0003842366970199891,0.0002258116264746646,0.11847894096884236,9.932733751239875e-05,0.023026305350149955,0.032842068059386435,0.6196034426921728
0.014550423897592002,0.002347067352002496,0.0005867125050024413,0.0012712577769642193,0.04404559188793174,0.017838463035978497,0.026572922805300603,0.0005501275264898506,0.0009528492535322978,0.8218694558312125,0.06941512812799328
0.014768215313976225,0.0019035978020655701,0.002425993863253426,0.0002153430814052228,0.014165418982608643,0.0017224929093441201,0.005686107801315618,0.0001679606369062618,0.0008225791656760503,0.9349945472827131,0.02312774316073578
3.714451233901562e-05,0.10607180276651529,0.007664718599055604,3.563221431730254e-05,0.0002259821310863931,0.0951699986971058,0.27040284580981117,6.032217221375267e-06,0.016085149572660436,0.2716387227574223,0.23266197072246522
0.0001980331591764725,0.006374204878981478,0.7698299458572465,0.0001936956620900638,1.7273043779268885e-05,0.05552352072963409,0.01907288031046139,1.5378563258568023e-05,0.00672593831840774,0.03412991104926957,0.10791921842769474
0.011920488787422799,0.14752337820304337,0.017985335670584655,0.0013309021259789774,0.004475749346425123,0.022099645852831497,0.09984564312273356,0.0032119025297365957,0.003974420942697051,0.5604799200746866,0.12715261334385974
0.0017633183882975786,0.5581562832262587,0.003122683699798229,1.966229952957767e-05,0.000125395511768217,0.0019287493600851481,0.30957368217285436,0.00013725776169295473,0.00015791595333181622,0.06830091887922773,0.05671413274715591
2.395985687711975e-05,0.003321016820825435,0.019412593298682806,7.965860245486894e-06,1.6528776663136603e-05,0.0021931435931235436,0.010221379848789217,1.02955097670759e-05,0.8579409910065391,0.0008113598743396248,0.1060407655541473
